qid,promptShort,stage,uiType,quality,priorityBattery,burden,distinctNodes,isFixedOpener,fixedOpenerSlot,isForcedCoverageProbe,totalEvidenceWeighted,signalPerBurden,askedCount,avgSlot,inDumps,flagCount,flagKinds,touchSummary
1,political_content_frequency,fixed12,single_choice,0.92,false,1,1,true,4,false,2.643,2.643,0,,,0,,ENG/position@0.85~strong(3.11)
2,political_identity_centrality,fixed12,slider,0.94,false,1,2,false,,false,3.26,3.26,0,,D1@21;D2@23,1,subthreshold_touch,PF/position@0.8~strong(2.95)|ENG/position@0.35~strong(2.57)
3,cultural_social_placement,fixed12,slider,0.9,false,1,1,false,,false,2.502,2.502,0,,D1@11;D2@11;D3@11,0,,CD/position@0.9~strong(2.78)
4,cultural_social_salience,fixed12,slider,0.93,false,1,3,false,,false,2.705,2.705,0,,D2@24,0,,CD/salience@0.9~strong(1.85)|CU/salience@0.45~reasonable(1.64)|MOR/salience@0.2~reasonable(1.51)
5,engagement_motivations_top2,screen20,multi,0.86,false,2,7,false,,false,1.334,0.667,0,,,5,overloaded_question|subthreshold_touch|declared_low_actual_high,PRO/salience@0.2~reasonable(0.7)|COM/salience@0.2~reasonable(0.76)|MOR/salience@0.2~reasonable(0.72)|PF/position@0.25~reasonable(0.71)|TRB/position@0.25~reasonable(0.61)|ENG/position@0.3~reasonable(0.96)|EPS/category@0.2~strong(1.4)
6,national_priorities_bundle,stage2,single_choice,0.9,false,1,5,false,,false,4.915,4.915,0,,D1@15,2,overloaded_question|subthreshold_touch,MAT/position@0.65~reasonable(1.92)|CD/position@0.6~reasonable(2.05)|MOR/position@0.6~reasonable(1.98)|ONT_H/position@0.3~reasonable(1.59)|ZS/position@0.4~reasonable(1.48)|MAT/salience@0.3~reasonable(0.6)
7,coalition_vs_principle,screen20,single_choice,0.88,false,1,1,false,,true,1.53,1.53,0,,D1@16;D2@18;D3@17,0,,COM/position@0.85~reasonable(1.8)
8,domestic_vs_abroad_lives,screen20,slider,0.89,false,1,1,false,,false,2.376,2.376,0,,,0,,MOR/position@0.9~strong(2.64)
9,politics_at_social_gatherings,stage2,single_choice,0.86,false,1,2,false,,false,1.546,1.546,0,,,0,,ENG/position@0.6~reasonable(2.03)|COM/position@0.45~reasonable(0.73)
10,climate_energy_bundle,stage3,single_choice,0.42,false,1,2,false,,false,0.99,0.99,0,,,2,subthreshold_touch,MAT/position@0.35~reasonable(2)|ONT_S/position@0.2~reasonable(1.45)
11,nyt_headline_click,fixed12,single_choice,0.86,false,1,2,false,,false,2.081,2.081,0,,D2@22,0,,EPS/category@0.95~strong(1.48)|AES/category@0.45~strong(1.5)
12,guess_top_marginal_tax_rate,stage2,slider,0.68,false,1,1,false,,false,0.532,0.532,0,,,0,,EPS/category@0.35~strong(1.52)
13,preferred_top_marginal_tax_rate,stage2,slider,0.88,false,1,1,false,,false,2.558,2.558,0,,,0,,MAT/position@0.92~strong(2.78)
14,university_admissions_approach,stage2,single_choice,0.83,false,1,2,false,,false,1.799,1.799,0,,,1,subthreshold_touch,MAT/position@0.65~reasonable(2.25)|MOR/position@0.2~reasonable(1.68)
15,inequality_causes_allocation,fixed12,allocation,0.91,false,2,4,false,,false,3.17,1.585,0,,,5,overloaded_question|hollow_touch|subthreshold_touch,MAT/position@0.85~strong(3.2)|ZS/position@0.15~too_weak(0)|COM/position@0.25~reasonable(1.8)|EPS/category@0.1~too_weak(0)|MAT/salience@0.55~too_weak(0)
16,criminal_justice_bundle,stage3,single_choice,0.4,false,1,2,false,,false,0.665,0.665,0,,,2,subthreshold_touch,PRO/position@0.3~reasonable(1.37)|ONT_H/position@0.2~reasonable(1.27)
17,ceo_worker_pay_ratio,stage2,single_choice,0.87,false,1,1,false,,false,2.034,2.034,0,,,0,,MAT/position@0.9~reasonable(2.26)
18,human_improvement_capacity,screen20,single_choice,0.88,false,1,1,false,,true,1.926,1.926,0,,D1@17;D2@20;D3@21,0,,ONT_H/position@0.9~reasonable(2.14)
