file,year,name,confidence,pattern_a,pattern_b,current_MAT,current_CD,current_CU,current_MOR,current_PRO,current_COM,current_ZS,current_ONT_H,current_ONT_S,current_PF,current_TRB,current_ENG,current_EPS,current_AES,proposed_MAT,proposed_CD,proposed_CU,proposed_MOR,proposed_PRO,proposed_COM,proposed_ZS,proposed_ONT_H,proposed_ONT_S,proposed_PF,proposed_TRB,proposed_ENG,proposed_EPS,proposed_AES,evidence_note
elections-1789-1852.ts,1789,Washington,MEDIUM,N,Y,3,3,3,4,5,5,2,4,4,1,1,5,1,0,,,,2,,,,,,,,,,,Pattern B: MOR 4 reads rhetorical universalism; Washington was a slaveholder (held ~317 enslaved at Mount Vernon) — practiced scope was narrow. MOR 2 fits the rubric's slaveholder rule.
elections-1789-1852.ts,1792,Washington,MEDIUM,N,Y,3,3,3,4,5,5,2,4,4,1,1,4,1,0,,,,2,,,,,,,,,,,Same Pattern B as 1789 — slaveholder MOR should be 2 not 4.
elections-1789-1852.ts,1796,Adams,LOW,N,N,4,4,3,3,5,3,3,2,4,4,3,4,1,0,,,,,,,,,,,,,,,Reasonable mainstream Federalist coding; nothing materially off.
elections-1789-1852.ts,1796,Jefferson,ALREADY-FIXED,N,N,4,2,2,2,2,2,3,4,2,5,4,4,0,5,,,,,,,,,,,,,,,Matches 2026-04-26 corrections.
elections-1789-1852.ts,1800,Jefferson,ALREADY-FIXED,N,N,4,1,2,2,2,2,2,5,2,5,4,5,0,5,,,,,,,,,,,,,,,Matches 2026-04-26 corrections.
elections-1789-1852.ts,1800,Adams,MEDIUM,N,N,5,5,1,1,5,2,4,1,5,5,4,4,1,0,,,,2,,,,,,,,,,,MOR 1 implies klan-level narrowness; Adams was a New England Puritan elite proceduralist not an ethnic-cleansing-tier moralist. MOR 2 better captures elite-favoring without practiced cruelty.
elections-1789-1852.ts,1804,Jefferson,ALREADY-FIXED,N,N,4,2,2,2,3,3,2,4,2,4,3,5,0,5,,,,,,,,,,,,,,,Matches 2026-04-26 corrections.
elections-1789-1852.ts,1804,Pinckney,MEDIUM,N,N,5,5,1,1,5,3,4,2,5,4,4,3,1,0,,,,2,,,,,,,,,,,MOR 1 over-extreme for a generic Federalist standard-bearer — MOR 2 fits elite-narrow rubric anchor.
elections-1789-1852.ts,1808,Madison,HIGH,N,Y,2,2,4,4,5,4,2,4,4,4,2,4,0,1,4,,2,2,,,,,,,,,,,Pattern B + drift: Madison held ~100 enslaved. MOR 4 / CU 4 read his rhetoric not practice. Per rubric Madison-drift caveat MAT should be 4 (anti-Hamilton agrarian-property) not 2 (redistributive). CU 2 (assimilationist white-settler) MOR 2 (slaveholder).
elections-1789-1852.ts,1808,Pinckney,LOW,N,N,5,5,1,2,5,3,4,2,5,4,4,3,1,0,,,,,,,,,,,,,,,MOR 2 here is reasonable; CD 5 / CU 1 strong but defensible for a Federalist hard-liner. Leave as is.
elections-1789-1852.ts,1812,Madison,HIGH,N,Y,2,2,4,4,4,3,3,3,3,4,3,5,0,0,4,,2,2,,,,,4,,,,,,Same Pattern B as 1808. Wartime president (War of 1812) — slaveholder MOR 2. MAT 4 (agrarian-property) CU 2. Madison-drift caveat: as wartime president using federal/military institutions hard ONT_S can drift up to 4.
elections-1789-1852.ts,1812,Clinton,LOW,N,N,4,4,2,2,5,4,3,3,4,3,3,4,1,1,,,,,,,,,,,,,,,Federalist-leaning fusion candidate; coding is reasonable mid-Federalist.
elections-1789-1852.ts,1816,Monroe,HIGH,N,Y,2,2,4,4,4,5,1,5,5,3,2,4,1,0,4,,2,2,,,,,,,,,,,Pattern B: Monroe held ~250 enslaved. MOR 4 / CU 4 read rhetorical universalism. MAT 4 (Jeffersonian agrarian) CU 2 (assimilationist) MOR 2 (slaveholder). Per Madison/Monroe drift caveat ONT_S 5 defensible (Monroe Doctrine internal improvements).
elections-1789-1852.ts,1816,King,MEDIUM,N,N,5,5,1,1,5,3,4,2,4,4,4,3,1,0,,,,2,,,,,,,,,,,MOR 1 too extreme for a Federalist elite — MOR 2 is the rubric's elite-favoring anchor; MOR 1 reserved for klan-tier.
elections-1789-1852.ts,1820,Monroe,HIGH,N,Y,3,3,4,4,4,5,1,5,5,2,1,3,1,0,4,,2,2,,,,,,,,,,,Same Pattern B. Even Era of Good Feelings Monroe was a slaveholder. MAT 4 CU 2 MOR 2. ENG 3 reasonable for unopposed reluctant-style election.
elections-1789-1852.ts,1824,Adams,ALREADY-FIXED,N,N,4,3,3,4,5,4,2,2,5,4,2,4,1,1,,,,,,,,,,,,,,,Matches 2026-04-23 recalibration.
elections-1789-1852.ts,1824,Jackson,ALREADY-FIXED,N,N,4,4,1,1,2,1,4,2,2,3,4,5,3,4,,,,,,,,,,,,,,,Matches recent recalibration; sharp particularist Jacksonian.
elections-1789-1852.ts,1824,Crawford,LOW,N,N,4,4,2,2,4,3,3,2,4,4,3,3,1,0,,,,,,,,,,,,,,,Already softened from extremes 2026-04-23. Reasonable mainstream Jeffersonian coding.
elections-1789-1852.ts,1824,Clay,LOW,N,N,4,3,3,3,5,5,2,3,5,4,2,5,1,0,,,,,,,,,,,,,,,American System Whig founder; coding fits the dealmaker-developmentalist profile well.
elections-1789-1852.ts,1828,Jackson,ALREADY-FIXED,N,N,4,4,1,1,2,1,4,2,2,4,4,5,3,4,,,,,,,,,,,,,,,Matches 2026-04-23 recalibration.
elections-1789-1852.ts,1828,Adams,LOW,N,N,4,3,3,4,5,3,3,2,5,4,2,3,1,1,,,,,,,,,,,,,,,Reasonable second-time National Republican coding consistent with 1824 Adams.
elections-1789-1852.ts,1832,Jackson,ALREADY-FIXED,N,N,4,4,1,1,2,1,4,2,2,4,4,5,3,4,,,,,,,,,,,,,,,Matches 2026-04-23 recalibration; Bank War sharpening defensible.
